"","ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"8458",9853849,"HX502686","11/10/2014 11:09:00 PM","051XX W AGATITE AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","false","1623","016",45,15,"14",1141185,1929098,2014,"02/04/2016 06:33:39 AM",41.96152508,-87.756317454,"(41.96152508, -87.756317454)"
"8459",10350144,"HY540739","12/16/2015 04:39:00 PM","104XX S CALHOUN AVE","0820","THEFT","$500 AND UNDER","APARTMENT","false","false","0434","004",10,51,"06",1194857,1836266,2015,"12/23/2015 03:53:55 PM",41.705629184,-87.562056686,"(41.705629184, -87.562056686)"
"8460",9074911,"HW219620","04/04/2013 07:15:00 PM","074XX S SOUTH SHORE DR","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","0334","003",7,43,"08B",1195788,1856597,2013,"02/04/2016 06:33:39 AM",41.761396234,-87.557976827,"(41.761396234, -87.557976827)"
"8461",7028804,"HR435985","07/18/2009 04:00:00 PM","041XX N MENARD AVE","0820","THEFT","$500 AND UNDER","STREET","false","false","1624","016",38,15,"06",1136941,1926898,2009,"02/04/2016 06:33:39 AM",41.95556543,-87.771973972,"(41.95556543, -87.771973972)"
"8462",10113758,"HY301848","06/14/2015 10:00:00 PM","075XX S KIMBARK AVE","0820","THEFT","$500 AND UNDER","STREET","false","false","0411","004",5,43,"06",1186183,1855393,2015,"04/15/2016 03:49:27 PM",41.758324523,-87.593217386,"(41.758324523, -87.593217386)"
"8463",8042547,"HT274234","04/30/2011 08:00:00 PM","032XX N HALSTED ST","0820","THEFT","$500 AND UNDER","PARKING LOT/GARAGE(NON.RESID.)","false","false","2332","019",44,6,"06",1170356,1921685,2011,"02/04/2016 06:33:39 AM",41.940594418,-87.649286363,"(41.940594418, -87.649286363)"
"8464",3311006,"HK346949","05/06/2004 05:00:00 PM","066XX W HIGGINS AVE","1330","CRIMINAL TRESPASS","TO LAND","APARTMENT","false","true","1613","016",41,10,"26",1131073,1935059,2004,"04/15/2016 08:55:02 AM",41.978063498,-87.793357299,"(41.978063498, -87.793357299)"
"8465",8229898,"HT463911","08/24/2011 11:10:00 AM","008XX E 86TH ST","0610","BURGLARY","FORCIBLE ENTRY","APARTMENT","false","false","0632","006",8,44,"05",1183242,1848133,2011,"02/04/2016 06:33:39 AM",41.738471239,-87.604221224,"(41.738471239, -87.604221224)"
"8466",2117142,"HH325986","04/23/2002 01:46:34 PM","101XX S PERRY AVE","2027","NARCOTICS","POSS: CRACK","STREET","true","false","0511","005",9,49,"18",1177390,1837657,2002,"04/15/2016 08:55:02 AM",41.709857774,-87.625976896,"(41.709857774, -87.625976896)"
"8467",4421828,"HL715877","11/04/2005 07:00:00 PM","0000X E 103RD ST","0860","THEFT","RETAIL THEFT","SMALL RETAIL STORE","false","false","0511","005",9,49,"06",1178687,1836698,2005,"04/15/2016 08:55:02 AM",41.707196813,-87.621256153,"(41.707196813, -87.621256153)"
